param,importance,dataset,imputation,time_taken
algorithm,0.001182245241663719,analcatdata_homerun.csv,True,2288.0929821470054
imputation,0.004251563311925113,analcatdata_homerun.csv,True,2288.0929821470054
learning_rate,0.06061805980239526,analcatdata_homerun.csv,True,2288.0929821470054
max_depth,0.12168712317722563,analcatdata_homerun.csv,True,2288.0929821470054
n_estimators,0.021180878976373087,analcatdata_homerun.csv,True,2288.0929821470054
"('learning_rate', 'max_depth')",0.12860700255392735,analcatdata_homerun.csv,True,2288.0929821470054
"('max_depth', 'n_estimators')",0.05328535494762421,analcatdata_homerun.csv,True,2288.0929821470054
"('learning_rate', 'n_estimators')",0.04841933715030121,analcatdata_homerun.csv,True,2288.0929821470054
"('algorithm', 'max_depth')",0.03468139011133499,analcatdata_homerun.csv,True,2288.0929821470054
"('imputation', 'learning_rate')",0.020652585430829908,analcatdata_homerun.csv,True,2288.0929821470054
"('algorithm', 'learning_rate')",0.011725339022847316,analcatdata_homerun.csv,True,2288.0929821470054
"('imputation', 'n_estimators')",0.0113626653128275,analcatdata_homerun.csv,True,2288.0929821470054
"('imputation', 'max_depth')",0.01094186393407379,analcatdata_homerun.csv,True,2288.0929821470054
"('algorithm', 'n_estimators')",0.007722608593822225,analcatdata_homerun.csv,True,2288.0929821470054
"('algorithm', 'imputation')",0.0015396361867020432,analcatdata_homerun.csv,True,2288.0929821470054
"('algorithm', 'max_depth', 'learning_rate')",0.03878406209683967,analcatdata_homerun.csv,True,2288.0929821470054
"('imputation', 'max_depth', 'learning_rate')",0.05210649974100777,analcatdata_homerun.csv,True,2288.0929821470054
algorithm,0.001297590728487859,phpvtdNPU.csv,False,96.65944590501022
learning_rate,0.042632206516483154,phpvtdNPU.csv,False,96.65944590501022
max_depth,0.4552606901910402,phpvtdNPU.csv,False,96.65944590501022
n_estimators,0.03637362799999357,phpvtdNPU.csv,False,96.65944590501022
"('max_depth', 'n_estimators')",0.10368167764948044,phpvtdNPU.csv,False,96.65944590501022
"('learning_rate', 'max_depth')",0.08930949679025516,phpvtdNPU.csv,False,96.65944590501022
