"param","importance","dataset","imputation","time_taken"
"criterion",0.00232885973537855,"analcatdata_homerun.csv","True",1987.11713483301
"imputation",0.00175652684853102,"analcatdata_homerun.csv","True",1987.11713483301
"max_features",0.0200964523519992,"analcatdata_homerun.csv","True",1987.11713483301
"min_samples_leaf",0.18541118482313,"analcatdata_homerun.csv","True",1987.11713483301
"min_samples_split",0.0097022966759653,"analcatdata_homerun.csv","True",1987.11713483301
"('max_features', 'min_samples_leaf')",0.0744437797013228,"analcatdata_homerun.csv","True",1987.11713483301
"('min_samples_leaf', 'min_samples_split')",0.0550431836565163,"analcatdata_homerun.csv","True",1987.11713483301
"('max_features', 'min_samples_split')",0.0226403107226796,"analcatdata_homerun.csv","True",1987.11713483301
"('criterion', 'min_samples_leaf')",0.0224104778509718,"analcatdata_homerun.csv","True",1987.11713483301
"('imputation', 'min_samples_leaf')",0.0193547559895979,"analcatdata_homerun.csv","True",1987.11713483301
"('criterion', 'max_features')",0.0150761693632241,"analcatdata_homerun.csv","True",1987.11713483301
"('imputation', 'max_features')",0.0141243030318565,"analcatdata_homerun.csv","True",1987.11713483301
"('imputation', 'min_samples_split')",0.00767927613680784,"analcatdata_homerun.csv","True",1987.11713483301
"('criterion', 'min_samples_split')",0.00557258745208016,"analcatdata_homerun.csv","True",1987.11713483301
"('criterion', 'imputation')",0.00322208885856888,"analcatdata_homerun.csv","True",1987.11713483301
"('criterion', 'max_features', 'min_samples_leaf')",0.0352030460629866,"analcatdata_homerun.csv","True",1987.11713483301
"('imputation', 'max_features', 'min_samples_leaf')",0.0633885488249596,"analcatdata_homerun.csv","True",1987.11713483301
"criterion",0.0307199292581649,"phpGUrE90.csv","False",126.586649527017
"max_features",0.15654925157726,"phpGUrE90.csv","False",126.586649527017
"min_samples_leaf",0.0760035837075413,"phpGUrE90.csv","False",126.586649527017
"min_samples_split",0.0293879770678259,"phpGUrE90.csv","False",126.586649527017
"('max_features', 'min_samples_leaf')",0.108495515145017,"phpGUrE90.csv","False",126.586649527017
"('max_features', 'min_samples_split')",0.100828724019952,"phpGUrE90.csv","False",126.586649527017
