param,importance,dataset,imputation,time_taken
algorithm,0.0018315049757768168,phpvtdNPU.csv,False,102.1819682510004
learning_rate,0.049146258642346306,phpvtdNPU.csv,False,102.1819682510004
max_depth,0.43950704378211103,phpvtdNPU.csv,False,102.1819682510004
n_estimators,0.028026811129723425,phpvtdNPU.csv,False,102.1819682510004
"('learning_rate', 'max_depth')",0.11422783079731237,phpvtdNPU.csv,False,102.1819682510004
"('max_depth', 'n_estimators')",0.0903328735833723,phpvtdNPU.csv,False,102.1819682510004
"('learning_rate', 'n_estimators')",0.041924702761292267,phpvtdNPU.csv,False,102.1819682510004
"('algorithm', 'max_depth')",0.02188311784506916,phpvtdNPU.csv,False,102.1819682510004
"('algorithm', 'learning_rate')",0.010214535222106516,phpvtdNPU.csv,False,102.1819682510004
"('algorithm', 'n_estimators')",0.009209514557785192,phpvtdNPU.csv,False,102.1819682510004
"('algorithm', 'max_depth', 'learning_rate')",0.059229381952652704,phpvtdNPU.csv,False,102.1819682510004
algorithm,0.005895031874371962,phpZZfh5g.csv,False,108.57143430100041
learning_rate,0.03849664777273161,phpZZfh5g.csv,False,108.57143430100041
max_depth,0.46953627313171953,phpZZfh5g.csv,False,108.57143430100041
n_estimators,0.05189975382034083,phpZZfh5g.csv,False,108.57143430100041
"('learning_rate', 'max_depth')",0.08055716194952142,phpZZfh5g.csv,False,108.57143430100041
"('max_depth', 'n_estimators')",0.07530588264607785,phpZZfh5g.csv,False,108.57143430100041
"('learning_rate', 'n_estimators')",0.055655440164091206,phpZZfh5g.csv,False,108.57143430100041
"('algorithm', 'n_estimators')",0.012985711410780688,phpZZfh5g.csv,False,108.57143430100041
"('algorithm', 'learning_rate')",0.01216260208467938,phpZZfh5g.csv,False,108.57143430100041
"('algorithm', 'max_depth')",0.01030521817042524,phpZZfh5g.csv,False,108.57143430100041
"('algorithm', 'max_depth', 'learning_rate')",0.021146088496112176,phpZZfh5g.csv,False,108.57143430100041
algorithm,0.0734107087921267,phpuZu33P.csv,False,108.15100767799959
learning_rate,0.32746829318474735,phpuZu33P.csv,False,108.15100767799959
max_depth,0.19736010411538057,phpuZu33P.csv,False,108.15100767799959
n_estimators,0.019717483405790305,phpuZu33P.csv,False,108.15100767799959
"('learning_rate', 'max_depth')",0.11804816817242356,phpuZu33P.csv,False,108.15100767799959
"('algorithm', 'learning_rate')",0.059238573914986326,phpuZu33P.csv,False,108.15100767799959
"('algorithm', 'max_depth')",0.05032485224322828,phpuZu33P.csv,False,108.15100767799959
"('max_depth', 'n_estimators')",0.02380303010329876,phpuZu33P.csv,False,108.15100767799959
"('learning_rate', 'n_estimators')",0.01958186672349993,phpuZu33P.csv,False,108.15100767799959
"('algorithm', 'n_estimators')",0.007109154134349951,phpuZu33P.csv,False,108.15100767799959
"('algorithm', 'max_depth', 'learning_rate')",0.04491797772196697,phpuZu33P.csv,False,108.15100767799959
algorithm,0.0827831785272074,dataset_14_mfeat-fourier.csv,False,100.34017335499993
learning_rate,0.054302032428699076,dataset_14_mfeat-fourier.csv,False,100.34017335499993
max_depth,0.5973257208331999,dataset_14_mfeat-fourier.csv,False,100.34017335499993
n_estimators,0.03167383578865973,dataset_14_mfeat-fourier.csv,False,100.34017335499993
"('algorithm', 'max_depth')",0.047392496215609495,dataset_14_mfeat-fourier.csv,False,100.34017335499993
"('max_depth', 'n_estimators')",0.04134568375436962,dataset_14_mfeat-fourier.csv,False,100.34017335499993
"('learning_rate', 'max_depth')",0.025272544627303935,dataset_14_mfeat-fourier.csv,False,100.34017335499993
"('algorithm', 'learning_rate')",0.018602488609428435,dataset_14_mfeat-fourier.csv,False,100.34017335499993
"('learning_rate', 'n_estimators')",0.013462457781528726,dataset_14_mfeat-fourier.csv,False,100.34017335499993
"('algorithm', 'n_estimators')",0.011640508124599618,dataset_14_mfeat-fourier.csv,False,100.34017335499993
"('algorithm', 'max_depth', 'learning_rate')",0.02063037728062228,dataset_14_mfeat-fourier.csv,False,100.34017335499993
algorithm,0.13216397982648542,phpoW7Dbi.csv,False,107.32601231800072
learning_rate,0.20885234881923734,phpoW7Dbi.csv,False,107.32601231800072
max_depth,0.3398270308295669,phpoW7Dbi.csv,False,107.32601231800072
n_estimators,0.017903048425838952,phpoW7Dbi.csv,False,107.32601231800072
"('algorithm', 'learning_rate')",0.09118908901203576,phpoW7Dbi.csv,False,107.32601231800072
"('learning_rate', 'max_depth')",0.06109808327150883,phpoW7Dbi.csv,False,107.32601231800072
"('algorithm', 'max_depth')",0.02875030435135835,phpoW7Dbi.csv,False,107.32601231800072
"('learning_rate', 'n_estimators')",0.014100260309741455,phpoW7Dbi.csv,False,107.32601231800072
"('max_depth', 'n_estimators')",0.010789287307891804,phpoW7Dbi.csv,False,107.32601231800072
"('algorithm', 'n_estimators')",0.004077452260634663,phpoW7Dbi.csv,False,107.32601231800072
"('algorithm', 'max_depth', 'learning_rate')",0.03455171217750051,phpoW7Dbi.csv,False,107.32601231800072
algorithm,0.01246312972666735,phphQEck0.csv,False,106.04422049200002
learning_rate,0.13655864411497107,phphQEck0.csv,False,106.04422049200002
max_depth,0.5925244465675727,phphQEck0.csv,False,106.04422049200002
n_estimators,0.016479130929512354,phphQEck0.csv,False,106.04422049200002
"('learning_rate', 'max_depth')",0.05886254578305107,phphQEck0.csv,False,106.04422049200002
"('algorithm', 'max_depth')",0.058133482186905644,phphQEck0.csv,False,106.04422049200002
"('max_depth', 'n_estimators')",0.03652125752174988,phphQEck0.csv,False,106.04422049200002
"('algorithm', 'learning_rate')",0.013662364204744122,phphQEck0.csv,False,106.04422049200002
"('learning_rate', 'n_estimators')",0.008092135035458763,phphQEck0.csv,False,106.04422049200002
"('algorithm', 'n_estimators')",0.0021422553202515545,phphQEck0.csv,False,106.04422049200002
"('algorithm', 'max_depth', 'learning_rate')",0.03129613862318653,phphQEck0.csv,False,106.04422049200002
algorithm,0.1296130276597909,phpkIxskf.csv,False,126.59035906000008
learning_rate,0.45082183200903303,phpkIxskf.csv,False,126.59035906000008
max_depth,0.045032216803227366,phpkIxskf.csv,False,126.59035906000008
n_estimators,0.022302143346431047,phpkIxskf.csv,False,126.59035906000008
"('learning_rate', 'max_depth')",0.07196908806978408,phpkIxskf.csv,False,126.59035906000008
"('algorithm', 'max_depth')",0.04448425724497912,phpkIxskf.csv,False,126.59035906000008
"('algorithm', 'learning_rate')",0.040849548820640284,phpkIxskf.csv,False,126.59035906000008
"('learning_rate', 'n_estimators')",0.036965158886615,phpkIxskf.csv,False,126.59035906000008
"('max_depth', 'n_estimators')",0.023616061781739944,phpkIxskf.csv,False,126.59035906000008
"('algorithm', 'n_estimators')",0.013701794854583973,phpkIxskf.csv,False,126.59035906000008
"('algorithm', 'max_depth', 'learning_rate')",0.03649736921788934,phpkIxskf.csv,False,126.59035906000008
algorithm,0.04782669994247286,dataset_186_satimage.csv,False,85.15655945300023
learning_rate,0.04150220395548353,dataset_186_satimage.csv,False,85.15655945300023
max_depth,0.7315603574389686,dataset_186_satimage.csv,False,85.15655945300023
n_estimators,0.0066476784349494425,dataset_186_satimage.csv,False,85.15655945300023
"('algorithm', 'max_depth')",0.045934681491965834,dataset_186_satimage.csv,False,85.15655945300023
"('learning_rate', 'max_depth')",0.028736954118647604,dataset_186_satimage.csv,False,85.15655945300023
"('max_depth', 'n_estimators')",0.022254401061630853,dataset_186_satimage.csv,False,85.15655945300023
"('algorithm', 'learning_rate')",0.010743388715985253,dataset_186_satimage.csv,False,85.15655945300023
"('learning_rate', 'n_estimators')",0.007143611742913532,dataset_186_satimage.csv,False,85.15655945300023
"('algorithm', 'n_estimators')",0.0030254296554743337,dataset_186_satimage.csv,False,85.15655945300023
"('algorithm', 'max_depth', 'learning_rate')",0.02284658813420844,dataset_186_satimage.csv,False,85.15655945300023
algorithm,0.010459493548052007,phpGReJjU.csv,False,11.283611982000366
learning_rate,0.08997788375704278,phpGReJjU.csv,False,11.283611982000366
max_depth,0.6393305136111438,phpGReJjU.csv,False,11.283611982000366
n_estimators,0.026873544063404895,phpGReJjU.csv,False,11.283611982000366
"('learning_rate', 'max_depth')",0.061845277656068356,phpGReJjU.csv,False,11.283611982000366
"('algorithm', 'max_depth')",0.04129199476071253,phpGReJjU.csv,False,11.283611982000366
"('max_depth', 'n_estimators')",0.02117339206008794,phpGReJjU.csv,False,11.283611982000366
"('algorithm', 'learning_rate')",0.014488605854268796,phpGReJjU.csv,False,11.283611982000366
"('learning_rate', 'n_estimators')",0.009821869956434161,phpGReJjU.csv,False,11.283611982000366
"('algorithm', 'n_estimators')",0.005970981811166404,phpGReJjU.csv,False,11.283611982000366
"('algorithm', 'max_depth', 'learning_rate')",0.0349084550713949,phpGReJjU.csv,False,11.283611982000366
algorithm,0.006618332270806524,shuttle.csv,False,103.6064742260005
learning_rate,0.14651345901550178,shuttle.csv,False,103.6064742260005
max_depth,0.14805590441314267,shuttle.csv,False,103.6064742260005
n_estimators,0.06730423393428168,shuttle.csv,False,103.6064742260005
"('learning_rate', 'max_depth')",0.15419701491791948,shuttle.csv,False,103.6064742260005
"('max_depth', 'n_estimators')",0.10626810357073617,shuttle.csv,False,103.6064742260005
"('learning_rate', 'n_estimators')",0.05165563482641301,shuttle.csv,False,103.6064742260005
"('algorithm', 'max_depth')",0.04510927967273266,shuttle.csv,False,103.6064742260005
"('algorithm', 'learning_rate')",0.015333797954959759,shuttle.csv,False,103.6064742260005
"('algorithm', 'n_estimators')",0.004894415934134332,shuttle.csv,False,103.6064742260005
"('algorithm', 'max_depth', 'learning_rate')",0.07810497983238743,shuttle.csv,False,103.6064742260005
algorithm,0.05596834177121548,phpxijhaP.csv,False,153.07882607200008
learning_rate,0.41394904375973046,phpxijhaP.csv,False,153.07882607200008
max_depth,0.007353076944086159,phpxijhaP.csv,False,153.07882607200008
n_estimators,0.11203353798642676,phpxijhaP.csv,False,153.07882607200008
"('algorithm', 'learning_rate')",0.07984217474073178,phpxijhaP.csv,False,153.07882607200008
"('learning_rate', 'max_depth')",0.06242064973905287,phpxijhaP.csv,False,153.07882607200008
"('learning_rate', 'n_estimators')",0.06006058661031599,phpxijhaP.csv,False,153.07882607200008
"('algorithm', 'n_estimators')",0.035940701751482174,phpxijhaP.csv,False,153.07882607200008
"('max_depth', 'n_estimators')",0.01843295969740181,phpxijhaP.csv,False,153.07882607200008
"('algorithm', 'max_depth')",0.014652735168179793,phpxijhaP.csv,False,153.07882607200008
"('algorithm', 'max_depth', 'learning_rate')",0.049200659167775565,phpxijhaP.csv,False,153.07882607200008
algorithm,0.0027738040613435647,AP_Breast_Prostate.csv,False,129.318091268
learning_rate,0.09020813557598026,AP_Breast_Prostate.csv,False,129.318091268
max_depth,0.1268999269030214,AP_Breast_Prostate.csv,False,129.318091268
n_estimators,0.06867367182522252,AP_Breast_Prostate.csv,False,129.318091268
"('learning_rate', 'n_estimators')",0.17023070849078975,AP_Breast_Prostate.csv,False,129.318091268
"('learning_rate', 'max_depth')",0.09562769701301299,AP_Breast_Prostate.csv,False,129.318091268
"('max_depth', 'n_estimators')",0.0819725388828417,AP_Breast_Prostate.csv,False,129.318091268
"('algorithm', 'learning_rate')",0.02658747822606535,AP_Breast_Prostate.csv,False,129.318091268
"('algorithm', 'n_estimators')",0.02330978782414804,AP_Breast_Prostate.csv,False,129.318091268
"('algorithm', 'max_depth')",0.011994863286446562,AP_Breast_Prostate.csv,False,129.318091268
"('algorithm', 'max_depth', 'learning_rate')",0.03285209177761918,AP_Breast_Prostate.csv,False,129.318091268
algorithm,0.0010639395802748894,AP_Breast_Omentum.csv,False,111.86185416100034
learning_rate,0.05789620244497927,AP_Breast_Omentum.csv,False,111.86185416100034
max_depth,0.4271357426517095,AP_Breast_Omentum.csv,False,111.86185416100034
n_estimators,0.045965950947958634,AP_Breast_Omentum.csv,False,111.86185416100034
"('learning_rate', 'max_depth')",0.10417673959194226,AP_Breast_Omentum.csv,False,111.86185416100034
"('learning_rate', 'n_estimators')",0.07675968032287168,AP_Breast_Omentum.csv,False,111.86185416100034
"('max_depth', 'n_estimators')",0.07567218349872518,AP_Breast_Omentum.csv,False,111.86185416100034
"('algorithm', 'learning_rate')",0.01027717113859511,AP_Breast_Omentum.csv,False,111.86185416100034
"('algorithm', 'n_estimators')",0.006877652187079462,AP_Breast_Omentum.csv,False,111.86185416100034
"('algorithm', 'max_depth')",0.004622987284081436,AP_Breast_Omentum.csv,False,111.86185416100034
"('algorithm', 'max_depth', 'learning_rate')",0.02212801845510703,AP_Breast_Omentum.csv,False,111.86185416100034
algorithm,0.04198897056844853,gina_agnostic.csv,False,142.47640815700015
learning_rate,0.5014863907079006,gina_agnostic.csv,False,142.47640815700015
max_depth,0.21525932967815192,gina_agnostic.csv,False,142.47640815700015
n_estimators,0.05488151472957367,gina_agnostic.csv,False,142.47640815700015
"('learning_rate', 'max_depth')",0.04398992720156063,gina_agnostic.csv,False,142.47640815700015
"('learning_rate', 'n_estimators')",0.02874963507178592,gina_agnostic.csv,False,142.47640815700015
"('algorithm', 'max_depth')",0.016118263029127222,gina_agnostic.csv,False,142.47640815700015
"('algorithm', 'learning_rate')",0.015027455738470169,gina_agnostic.csv,False,142.47640815700015
"('max_depth', 'n_estimators')",0.013869463188910872,gina_agnostic.csv,False,142.47640815700015
"('algorithm', 'n_estimators')",0.00819776398178529,gina_agnostic.csv,False,142.47640815700015
"('algorithm', 'max_depth', 'learning_rate')",0.01843599918547468,gina_agnostic.csv,False,142.47640815700015
algorithm,0.003965908948460463,leukemia.csv,False,132.83840162499837
learning_rate,0.06319916334301912,leukemia.csv,False,132.83840162499837
max_depth,0.3830578757155286,leukemia.csv,False,132.83840162499837
n_estimators,0.05577232805163104,leukemia.csv,False,132.83840162499837
"('learning_rate', 'n_estimators')",0.11141999086947726,leukemia.csv,False,132.83840162499837
"('learning_rate', 'max_depth')",0.07294601424132058,leukemia.csv,False,132.83840162499837
"('max_depth', 'n_estimators')",0.06985455074154825,leukemia.csv,False,132.83840162499837
"('algorithm', 'learning_rate')",0.017666065815799846,leukemia.csv,False,132.83840162499837
"('algorithm', 'n_estimators')",0.014826213115020685,leukemia.csv,False,132.83840162499837
"('algorithm', 'max_depth')",0.008078659587262099,leukemia.csv,False,132.83840162499837
"('algorithm', 'max_depth', 'learning_rate')",0.018946652618519202,leukemia.csv,False,132.83840162499837
algorithm,0.0342437822005467,MagicTelescope.csv,False,108.56462343600106
learning_rate,0.26979589683782756,MagicTelescope.csv,False,108.56462343600106
max_depth,0.28753835800748123,MagicTelescope.csv,False,108.56462343600106
n_estimators,0.07125828184220472,MagicTelescope.csv,False,108.56462343600106
"('learning_rate', 'max_depth')",0.05579056573032977,MagicTelescope.csv,False,108.56462343600106
"('learning_rate', 'n_estimators')",0.04515418523989931,MagicTelescope.csv,False,108.56462343600106
"('algorithm', 'max_depth')",0.03559096890200396,MagicTelescope.csv,False,108.56462343600106
"('algorithm', 'learning_rate')",0.03421324313738367,MagicTelescope.csv,False,108.56462343600106
"('max_depth', 'n_estimators')",0.03094783113824292,MagicTelescope.csv,False,108.56462343600106
"('algorithm', 'n_estimators')",0.007183844749907844,MagicTelescope.csv,False,108.56462343600106
"('algorithm', 'max_depth', 'learning_rate')",0.02861779248869882,MagicTelescope.csv,False,108.56462343600106
algorithm,0.058269664952836905,electricity-normalized.csv,False,201.8534599400009
learning_rate,0.08638282879422514,electricity-normalized.csv,False,201.8534599400009
max_depth,0.4959047363872017,electricity-normalized.csv,False,201.8534599400009
n_estimators,0.046042461831192316,electricity-normalized.csv,False,201.8534599400009
"('algorithm', 'learning_rate')",0.058488181208848446,electricity-normalized.csv,False,201.8534599400009
"('algorithm', 'max_depth')",0.05417648310882451,electricity-normalized.csv,False,201.8534599400009
"('learning_rate', 'max_depth')",0.04352667037745074,electricity-normalized.csv,False,201.8534599400009
"('max_depth', 'n_estimators')",0.025729322980872917,electricity-normalized.csv,False,201.8534599400009
"('learning_rate', 'n_estimators')",0.016147542867023888,electricity-normalized.csv,False,201.8534599400009
"('algorithm', 'n_estimators')",0.004744451158202712,electricity-normalized.csv,False,201.8534599400009
"('algorithm', 'max_depth', 'learning_rate')",0.036129020526715114,electricity-normalized.csv,False,201.8534599400009
algorithm,0.013443172958001084,phpSF8oeR.csv,False,92.39706923300037
learning_rate,0.05558169570078367,phpSF8oeR.csv,False,92.39706923300037
max_depth,0.19802219021372253,phpSF8oeR.csv,False,92.39706923300037
n_estimators,0.05361044624109955,phpSF8oeR.csv,False,92.39706923300037
"('learning_rate', 'max_depth')",0.11118814102365226,phpSF8oeR.csv,False,92.39706923300037
"('max_depth', 'n_estimators')",0.10206105423325061,phpSF8oeR.csv,False,92.39706923300037
"('learning_rate', 'n_estimators')",0.08570727108224216,phpSF8oeR.csv,False,92.39706923300037
"('algorithm', 'max_depth')",0.03304393375652674,phpSF8oeR.csv,False,92.39706923300037
"('algorithm', 'n_estimators')",0.02341248798989788,phpSF8oeR.csv,False,92.39706923300037
"('algorithm', 'learning_rate')",0.019800645788241443,phpSF8oeR.csv,False,92.39706923300037
"('algorithm', 'max_depth', 'learning_rate')",0.04697837336476043,phpSF8oeR.csv,False,92.39706923300037
algorithm,0.004795775465528065,php5J5AK6.csv,False,104.48648642900116
learning_rate,0.05375535387356348,php5J5AK6.csv,False,104.48648642900116
max_depth,0.4343931375321801,php5J5AK6.csv,False,104.48648642900116
n_estimators,0.033290372347751875,php5J5AK6.csv,False,104.48648642900116
"('learning_rate', 'max_depth')",0.10960536011883498,php5J5AK6.csv,False,104.48648642900116
"('max_depth', 'n_estimators')",0.06469496060821095,php5J5AK6.csv,False,104.48648642900116
"('learning_rate', 'n_estimators')",0.06359328439624823,php5J5AK6.csv,False,104.48648642900116
"('algorithm', 'max_depth')",0.01695832289634734,php5J5AK6.csv,False,104.48648642900116
