"param","importance","dataset","imputation","time_taken"
"bootstrap",0.126527829280707,"openml_phpZNNasq.csv","False",229.851752423
"criterion",0.000324253509181132,"openml_phpZNNasq.csv","False",229.851752423
"max_features",0.00620966491015763,"openml_phpZNNasq.csv","False",229.851752423
"min_samples_leaf",0.651071809401333,"openml_phpZNNasq.csv","False",229.851752423
"min_samples_split",0.00403806119461104,"openml_phpZNNasq.csv","False",229.851752423
"('bootstrap', 'min_samples_leaf')",0.123692747699249,"openml_phpZNNasq.csv","False",229.851752423
"('max_features', 'min_samples_leaf')",0.0167364815101738,"openml_phpZNNasq.csv","False",229.851752423
"('min_samples_leaf', 'min_samples_split')",0.0118656569572157,"openml_phpZNNasq.csv","False",229.851752423
"('bootstrap', 'max_features')",0.00592103279198391,"openml_phpZNNasq.csv","False",229.851752423
"('max_features', 'min_samples_split')",0.00308850648896259,"openml_phpZNNasq.csv","False",229.851752423
"('criterion', 'min_samples_leaf')",0.00190885779130439,"openml_phpZNNasq.csv","False",229.851752423
"('bootstrap', 'min_samples_split')",0.00184522087348458,"openml_phpZNNasq.csv","False",229.851752423
"('criterion', 'max_features')",0.000498978770112692,"openml_phpZNNasq.csv","False",229.851752423
"('bootstrap', 'criterion')",0.000293894531022262,"openml_phpZNNasq.csv","False",229.851752423
"('criterion', 'min_samples_split')",0.000201115749986443,"openml_phpZNNasq.csv","False",229.851752423
"('bootstrap', 'max_features', 'min_samples_leaf')",0.0152911707585314,"openml_phpZNNasq.csv","False",229.851752423
"('bootstrap', 'max_features', 'min_samples_split')",0.00237971644097055,"openml_phpZNNasq.csv","False",229.851752423
"bootstrap",0.125504779179531,"phpH2fvsy.csv","True",2291.263660664
"criterion",0.000148906072359104,"phpH2fvsy.csv","True",2291.263660664
"imputation",0.000770291869008117,"phpH2fvsy.csv","True",2291.263660664
"max_features",0.0121807722959196,"phpH2fvsy.csv","True",2291.263660664
"min_samples_leaf",0.471079913152062,"phpH2fvsy.csv","True",2291.263660664
"min_samples_split",0.00701526739713062,"phpH2fvsy.csv","True",2291.263660664
"('bootstrap', 'min_samples_leaf')",0.182615328413931,"phpH2fvsy.csv","True",2291.263660664
"('min_samples_leaf', 'min_samples_split')",0.0208811913674495,"phpH2fvsy.csv","True",2291.263660664
"('max_features', 'min_samples_leaf')",0.0200576689999911,"phpH2fvsy.csv","True",2291.263660664
"('imputation', 'min_samples_leaf')",0.00441334498172448,"phpH2fvsy.csv","True",2291.263660664
"('bootstrap', 'max_features')",0.00417084725950657,"phpH2fvsy.csv","True",2291.263660664
"('max_features', 'min_samples_split')",0.00404592209193603,"phpH2fvsy.csv","True",2291.263660664
"('imputation', 'max_features')",0.00259784801243274,"phpH2fvsy.csv","True",2291.263660664
"('bootstrap', 'min_samples_split')",0.00192645047556733,"phpH2fvsy.csv","True",2291.263660664
"('criterion', 'min_samples_leaf')",0.00174592413215143,"phpH2fvsy.csv","True",2291.263660664
"('imputation', 'min_samples_split')",0.00110418953429973,"phpH2fvsy.csv","True",2291.263660664
"('bootstrap', 'max_features', 'min_samples_leaf')",0.013096856781747,"phpH2fvsy.csv","True",2291.263660664
"('bootstrap', 'max_features', 'min_samples_split')",0.0027123428178623,"phpH2fvsy.csv","True",2291.263660664
"('imputation', 'max_features', 'min_samples_leaf')",0.00972798210558578,"phpH2fvsy.csv","True",2291.263660664
"bootstrap",0.0117160637639288,"phpTXWrKb.csv","False",126.569937131
"criterion",0.000503652290717355,"phpTXWrKb.csv","False",126.569937131
"max_features",0.499005279878331,"phpTXWrKb.csv","False",126.569937131
"min_samples_leaf",0.124600617982069,"phpTXWrKb.csv","False",126.569937131
"min_samples_split",0.00615592436053976,"phpTXWrKb.csv","False",126.569937131
"('max_features', 'min_samples_leaf')",0.165114437899396,"phpTXWrKb.csv","False",126.569937131
"('max_features', 'min_samples_split')",0.0188105802715694,"phpTXWrKb.csv","False",126.569937131
"('min_samples_leaf', 'min_samples_split')",0.0159556805751003,"phpTXWrKb.csv","False",126.569937131
"('bootstrap', 'min_samples_leaf')",0.0154960544775396,"phpTXWrKb.csv","False",126.569937131
"('bootstrap', 'max_features')",0.0108182570806501,"phpTXWrKb.csv","False",126.569937131
"('criterion', 'max_features')",0.00321746773803408,"phpTXWrKb.csv","False",126.569937131
"('criterion', 'min_samples_leaf')",0.00312958916499691,"phpTXWrKb.csv","False",126.569937131
"('bootstrap', 'min_samples_split')",0.00280812885918193,"phpTXWrKb.csv","False",126.569937131
"('criterion', 'min_samples_split')",0.00104843630624895,"phpTXWrKb.csv","False",126.569937131
"('bootstrap', 'criterion')",0.000224458116887355,"phpTXWrKb.csv","False",126.569937131
"('bootstrap', 'max_features', 'min_samples_leaf')",0.0287258733339646,"phpTXWrKb.csv","False",126.569937131
"('bootstrap', 'max_features', 'min_samples_split')",0.00667064689875047,"phpTXWrKb.csv","False",126.569937131
"bootstrap",0.00191145354722107,"pc3.csv","False",43.2216468869997
"criterion",0.00401924487545296,"pc3.csv","False",43.2216468869997
"max_features",0.045855267075207,"pc3.csv","False",43.2216468869997
"min_samples_leaf",0.0504884725417708,"pc3.csv","False",43.2216468869997
"min_samples_split",0.0244918868686355,"pc3.csv","False",43.2216468869997
"('min_samples_leaf', 'min_samples_split')",0.169611718211404,"pc3.csv","False",43.2216468869997
"('max_features', 'min_samples_leaf')",0.165573708711672,"pc3.csv","False",43.2216468869997
"('max_features', 'min_samples_split')",0.0576889428415308,"pc3.csv","False",43.2216468869997
"('bootstrap', 'min_samples_leaf')",0.0319338090091848,"pc3.csv","False",43.2216468869997
"('criterion', 'min_samples_leaf')",0.0206266597632737,"pc3.csv","False",43.2216468869997
"('bootstrap', 'max_features')",0.0142796867744212,"pc3.csv","False",43.2216468869997
"('criterion', 'max_features')",0.00993381303956728,"pc3.csv","False",43.2216468869997
"('bootstrap', 'min_samples_split')",0.00767964526914948,"pc3.csv","False",43.2216468869997
"('criterion', 'min_samples_split')",0.00721893986468334,"pc3.csv","False",43.2216468869997
"('bootstrap', 'criterion')",0.00111789591096536,"pc3.csv","False",43.2216468869997
"('bootstrap', 'max_features', 'min_samples_leaf')",0.040399680909349,"pc3.csv","False",43.2216468869997
"('bootstrap', 'max_features', 'min_samples_split')",0.00970517892267416,"pc3.csv","False",43.2216468869997
"bootstrap",0.125789657777708,"kin8nm.csv","False",204.88767256
"criterion",8.27773220991676e-05,"kin8nm.csv","False",204.88767256
"max_features",0.0808070918875603,"kin8nm.csv","False",204.88767256
"min_samples_leaf",0.689031739279454,"kin8nm.csv","False",204.88767256
"min_samples_split",0.00495992097991882,"kin8nm.csv","False",204.88767256
"('max_features', 'min_samples_leaf')",0.0246877623753122,"kin8nm.csv","False",204.88767256
"('min_samples_leaf', 'min_samples_split')",0.0152151814905295,"kin8nm.csv","False",204.88767256
"('bootstrap', 'max_features')",0.00812604569741721,"kin8nm.csv","False",204.88767256
"('bootstrap', 'min_samples_leaf')",0.0053580123338502,"kin8nm.csv","False",204.88767256
"('max_features', 'min_samples_split')",0.00266711228699597,"kin8nm.csv","False",204.88767256
"('bootstrap', 'min_samples_split')",0.00098831914271338,"kin8nm.csv","False",204.88767256
"('criterion', 'min_samples_leaf')",0.000586343250593984,"kin8nm.csv","False",204.88767256
"('criterion', 'max_features')",0.000324729863021644,"kin8nm.csv","False",204.88767256
"('criterion', 'min_samples_split')",0.000166201767539056,"kin8nm.csv","False",204.88767256
"('bootstrap', 'criterion')",7.46886091038969e-05,"kin8nm.csv","False",204.88767256
"('bootstrap', 'max_features', 'min_samples_leaf')",0.0128975570461447,"kin8nm.csv","False",204.88767256
