"param","importance","dataset","imputation","time_taken"
"bootstrap",0.0827728704940601,"AP_Breast_Prostate.csv","False",223.838447635993
"criterion",0.00181594499113883,"AP_Breast_Prostate.csv","False",223.838447635993
"max_features",0.316501313402253,"AP_Breast_Prostate.csv","False",223.838447635993
"min_samples_leaf",0.0142102018469852,"AP_Breast_Prostate.csv","False",223.838447635993
"min_samples_split",0.0155688201036559,"AP_Breast_Prostate.csv","False",223.838447635993
"('bootstrap', 'max_features')",0.0794063888296501,"AP_Breast_Prostate.csv","False",223.838447635993
"('max_features', 'min_samples_split')",0.0741347154275049,"AP_Breast_Prostate.csv","False",223.838447635993
"('max_features', 'min_samples_leaf')",0.0538653789372514,"AP_Breast_Prostate.csv","False",223.838447635993
"('min_samples_leaf', 'min_samples_split')",0.0218789026499274,"AP_Breast_Prostate.csv","False",223.838447635993
"('bootstrap', 'min_samples_split')",0.0163671461957447,"AP_Breast_Prostate.csv","False",223.838447635993
"('bootstrap', 'min_samples_leaf')",0.0119797234873788,"AP_Breast_Prostate.csv","False",223.838447635993
"('criterion', 'max_features')",0.0119041095196991,"AP_Breast_Prostate.csv","False",223.838447635993
"('criterion', 'min_samples_split')",0.00425312123163065,"AP_Breast_Prostate.csv","False",223.838447635993
"('criterion', 'min_samples_leaf')",0.00260737649512651,"AP_Breast_Prostate.csv","False",223.838447635993
"('bootstrap', 'criterion')",0.00144894375010031,"AP_Breast_Prostate.csv","False",223.838447635993
"('bootstrap', 'max_features', 'min_samples_leaf')",0.045188272018479,"AP_Breast_Prostate.csv","False",223.838447635993
"('bootstrap', 'max_features', 'min_samples_split')",0.0660295330446914,"AP_Breast_Prostate.csv","False",223.838447635993
"bootstrap",0.073988709252221,"AP_Breast_Omentum.csv","False",377.279531043008
"criterion",0.00287042482257673,"AP_Breast_Omentum.csv","False",377.279531043008
"max_features",0.0929037676896997,"AP_Breast_Omentum.csv","False",377.279531043008
"min_samples_leaf",0.199304846065997,"AP_Breast_Omentum.csv","False",377.279531043008
"min_samples_split",0.0112880645786465,"AP_Breast_Omentum.csv","False",377.279531043008
"('max_features', 'min_samples_leaf')",0.0953319486275767,"AP_Breast_Omentum.csv","False",377.279531043008
"('bootstrap', 'min_samples_leaf')",0.0486215819001011,"AP_Breast_Omentum.csv","False",377.279531043008
"('min_samples_leaf', 'min_samples_split')",0.0448523256039485,"AP_Breast_Omentum.csv","False",377.279531043008
"('bootstrap', 'max_features')",0.0336529513498953,"AP_Breast_Omentum.csv","False",377.279531043008
"('max_features', 'min_samples_split')",0.0242535574220231,"AP_Breast_Omentum.csv","False",377.279531043008
"('bootstrap', 'min_samples_split')",0.010128105620411,"AP_Breast_Omentum.csv","False",377.279531043008
"('criterion', 'max_features')",0.00966918297576003,"AP_Breast_Omentum.csv","False",377.279531043008
"('criterion', 'min_samples_leaf')",0.00905288602597728,"AP_Breast_Omentum.csv","False",377.279531043008
"('bootstrap', 'criterion')",0.00585227164955039,"AP_Breast_Omentum.csv","False",377.279531043008
"('criterion', 'min_samples_split')",0.00414210659010386,"AP_Breast_Omentum.csv","False",377.279531043008
"('bootstrap', 'max_features', 'min_samples_leaf')",0.0664925961801785,"AP_Breast_Omentum.csv","False",377.279531043008
"('bootstrap', 'max_features', 'min_samples_split')",0.0175976597983319,"AP_Breast_Omentum.csv","False",377.279531043008
"bootstrap",0.00443831923923003,"phpnYQXoc.csv","False",221.827644881
"criterion",0.00608370183502935,"phpnYQXoc.csv","False",221.827644881
"max_features",0.0912890749573814,"phpnYQXoc.csv","False",221.827644881
"min_samples_leaf",0.194009461744348,"phpnYQXoc.csv","False",221.827644881
"min_samples_split",0.0148059237672605,"phpnYQXoc.csv","False",221.827644881
"('bootstrap', 'min_samples_leaf')",0.113615309475942,"phpnYQXoc.csv","False",221.827644881
"('max_features', 'min_samples_leaf')",0.101149798092033,"phpnYQXoc.csv","False",221.827644881
"('bootstrap', 'max_features')",0.0594497232036765,"phpnYQXoc.csv","False",221.827644881
"('min_samples_leaf', 'min_samples_split')",0.0502521253443561,"phpnYQXoc.csv","False",221.827644881
"('max_features', 'min_samples_split')",0.0307697112798283,"phpnYQXoc.csv","False",221.827644881
"('bootstrap', 'min_samples_split')",0.0100028173929714,"phpnYQXoc.csv","False",221.827644881
"('criterion', 'min_samples_leaf')",0.00802610509417538,"phpnYQXoc.csv","False",221.827644881
"('criterion', 'max_features')",0.00673239820825085,"phpnYQXoc.csv","False",221.827644881
"('criterion', 'min_samples_split')",0.00312524993297711,"phpnYQXoc.csv","False",221.827644881
"('bootstrap', 'criterion')",0.00194322317996201,"phpnYQXoc.csv","False",221.827644881
"('bootstrap', 'max_features', 'min_samples_leaf')",0.076156625476767,"phpnYQXoc.csv","False",221.827644881
"('bootstrap', 'max_features', 'min_samples_split')",0.0171649404834168,"phpnYQXoc.csv","False",221.827644881
"bootstrap",0.0928436064171458,"phpgEDZOc.csv","False",158.371757873
"criterion",0.00173538238905724,"phpgEDZOc.csv","False",158.371757873
"max_features",0.193088506133509,"phpgEDZOc.csv","False",158.371757873
"min_samples_leaf",0.237609277974414,"phpgEDZOc.csv","False",158.371757873
"min_samples_split",0.00778786546255405,"phpgEDZOc.csv","False",158.371757873
"('max_features', 'min_samples_leaf')",0.0843203279217984,"phpgEDZOc.csv","False",158.371757873
"('bootstrap', 'max_features')",0.0453334509718153,"phpgEDZOc.csv","False",158.371757873
"('bootstrap', 'min_samples_leaf')",0.0321474269682484,"phpgEDZOc.csv","False",158.371757873
"('max_features', 'min_samples_split')",0.0222918182092638,"phpgEDZOc.csv","False",158.371757873
"('min_samples_leaf', 'min_samples_split')",0.0207624724269355,"phpgEDZOc.csv","False",158.371757873
"('criterion', 'min_samples_leaf')",0.014430420291523,"phpgEDZOc.csv","False",158.371757873
"('bootstrap', 'min_samples_split')",0.00610672291292927,"phpgEDZOc.csv","False",158.371757873
"('criterion', 'max_features')",0.00500015474731714,"phpgEDZOc.csv","False",158.371757873
"('criterion', 'min_samples_split')",0.00198733982039956,"phpgEDZOc.csv","False",158.371757873
"('bootstrap', 'criterion')",0.00178524515059859,"phpgEDZOc.csv","False",158.371757873
"('bootstrap', 'max_features', 'min_samples_leaf')",0.0728726290831136,"phpgEDZOc.csv","False",158.371757873
"('bootstrap', 'max_features', 'min_samples_split')",0.0165477897317612,"phpgEDZOc.csv","False",158.371757873
"bootstrap",0.0264534484413508,"dataset_105_lung-cancer.csv","True",531.174971008
"criterion",0.000401337292262827,"dataset_105_lung-cancer.csv","True",531.174971008
"imputation",0.000465265813862938,"dataset_105_lung-cancer.csv","True",531.174971008
"max_features",0.0137267051954553,"dataset_105_lung-cancer.csv","True",531.174971008
"min_samples_leaf",0.594072180578286,"dataset_105_lung-cancer.csv","True",531.174971008
"min_samples_split",0.00846425187809587,"dataset_105_lung-cancer.csv","True",531.174971008
"('bootstrap', 'min_samples_leaf')",0.0573740180207416,"dataset_105_lung-cancer.csv","True",531.174971008
"('max_features', 'min_samples_leaf')",0.0373391896806801,"dataset_105_lung-cancer.csv","True",531.174971008
"('min_samples_leaf', 'min_samples_split')",0.0213998874970525,"dataset_105_lung-cancer.csv","True",531.174971008
"('bootstrap', 'max_features')",0.0168680017771134,"dataset_105_lung-cancer.csv","True",531.174971008
"('bootstrap', 'min_samples_split')",0.0095873436444184,"dataset_105_lung-cancer.csv","True",531.174971008
"('max_features', 'min_samples_split')",0.00591674830206026,"dataset_105_lung-cancer.csv","True",531.174971008
"('imputation', 'min_samples_leaf')",0.00445732440267726,"dataset_105_lung-cancer.csv","True",531.174971008
"('imputation', 'max_features')",0.00207400149150913,"dataset_105_lung-cancer.csv","True",531.174971008
"('criterion', 'min_samples_leaf')",0.00168577112392534,"dataset_105_lung-cancer.csv","True",531.174971008
"('bootstrap', 'imputation')",0.00108876537054811,"dataset_105_lung-cancer.csv","True",531.174971008
"('bootstrap', 'max_features', 'min_samples_leaf')",0.0372196900113988,"dataset_105_lung-cancer.csv","True",531.174971008
"('bootstrap', 'max_features', 'min_samples_split')",0.00424572246307944,"dataset_105_lung-cancer.csv","True",531.174971008
"('imputation', 'max_features', 'min_samples_leaf')",0.0127261024113639,"dataset_105_lung-cancer.csv","True",531.174971008
"bootstrap",0.0735519359520841,"dataset_188_kropt.csv","False",205.557145929
"criterion",0.000839945468428859,"dataset_188_kropt.csv","False",205.557145929
"max_features",0.13436333430148,"dataset_188_kropt.csv","False",205.557145929
"min_samples_leaf",0.6873733594415,"dataset_188_kropt.csv","False",205.557145929
"min_samples_split",0.00559856975060176,"dataset_188_kropt.csv","False",205.557145929
"('max_features', 'min_samples_leaf')",0.022349753376791,"dataset_188_kropt.csv","False",205.557145929
"('min_samples_leaf', 'min_samples_split')",0.0154672119227721,"dataset_188_kropt.csv","False",205.557145929
"('bootstrap', 'min_samples_leaf')",0.00664838335525185,"dataset_188_kropt.csv","False",205.557145929
"('max_features', 'min_samples_split')",0.00451596412509965,"dataset_188_kropt.csv","False",205.557145929
"('bootstrap', 'max_features')",0.00411175201055226,"dataset_188_kropt.csv","False",205.557145929
"('bootstrap', 'min_samples_split')",0.0016546909340983,"dataset_188_kropt.csv","False",205.557145929
"('criterion', 'min_samples_leaf')",0.000872152814902107,"dataset_188_kropt.csv","False",205.557145929
"('criterion', 'max_features')",0.000344130806190631,"dataset_188_kropt.csv","False",205.557145929
"('criterion', 'min_samples_split')",0.000152384270421711,"dataset_188_kropt.csv","False",205.557145929
"('bootstrap', 'criterion')",0.000102358354527394,"dataset_188_kropt.csv","False",205.557145929
"('bootstrap', 'max_features', 'min_samples_leaf')",0.0102551268319788,"dataset_188_kropt.csv","False",205.557145929
"('bootstrap', 'max_features', 'min_samples_split')",0.00310127811242808,"dataset_188_kropt.csv","False",205.557145929
"bootstrap",0.0350598733404887,"php1PI19i.csv","False",254.642768397
"criterion",0.0510826388775633,"php1PI19i.csv","False",254.642768397
"max_features",0.163689252161558,"php1PI19i.csv","False",254.642768397
"min_samples_leaf",0.380256025902605,"php1PI19i.csv","False",254.642768397
"min_samples_split",0.00307433463054456,"php1PI19i.csv","False",254.642768397
"('bootstrap', 'max_features')",0.0717620734457465,"php1PI19i.csv","False",254.642768397
"('max_features', 'min_samples_leaf')",0.0518492498921946,"php1PI19i.csv","False",254.642768397
"('criterion', 'min_samples_leaf')",0.0417169353016285,"php1PI19i.csv","False",254.642768397
"('criterion', 'max_features')",0.0206043592615423,"php1PI19i.csv","False",254.642768397
"('bootstrap', 'min_samples_leaf')",0.0165222391767631,"php1PI19i.csv","False",254.642768397
"('min_samples_leaf', 'min_samples_split')",0.0115608113687864,"php1PI19i.csv","False",254.642768397
"('max_features', 'min_samples_split')",0.00656337508573729,"php1PI19i.csv","False",254.642768397
"('criterion', 'min_samples_split')",0.00207784279573023,"php1PI19i.csv","False",254.642768397
"('bootstrap', 'min_samples_split')",0.00181062103232257,"php1PI19i.csv","False",254.642768397
"('bootstrap', 'criterion')",0.000999909753662615,"php1PI19i.csv","False",254.642768397
"('bootstrap', 'max_features', 'min_samples_leaf')",0.0240888723173055,"php1PI19i.csv","False",254.642768397
"('bootstrap', 'max_features', 'min_samples_split')",0.00358547471310975,"php1PI19i.csv","False",254.642768397
"bootstrap",0.398677421050197,"AP_Endometrium_Lung.csv","False",205.377863035
"criterion",0.00559852217196403,"AP_Endometrium_Lung.csv","False",205.377863035
"max_features",0.187923107312487,"AP_Endometrium_Lung.csv","False",205.377863035
"min_samples_leaf",0.0124373615609995,"AP_Endometrium_Lung.csv","False",205.377863035
"min_samples_split",0.0105357633170431,"AP_Endometrium_Lung.csv","False",205.377863035
"('bootstrap', 'max_features')",0.0948759716658556,"AP_Endometrium_Lung.csv","False",205.377863035
"('max_features', 'min_samples_split')",0.0313583717921925,"AP_Endometrium_Lung.csv","False",205.377863035
"('max_features', 'min_samples_leaf')",0.0306992776609351,"AP_Endometrium_Lung.csv","False",205.377863035
"('bootstrap', 'min_samples_leaf')",0.0123365251627616,"AP_Endometrium_Lung.csv","False",205.377863035
"('min_samples_leaf', 'min_samples_split')",0.0100760680159856,"AP_Endometrium_Lung.csv","False",205.377863035
"('criterion', 'max_features')",0.00859391789423208,"AP_Endometrium_Lung.csv","False",205.377863035
"('bootstrap', 'min_samples_split')",0.00725831421213277,"AP_Endometrium_Lung.csv","False",205.377863035
"('bootstrap', 'criterion')",0.0034120163854122,"AP_Endometrium_Lung.csv","False",205.377863035
"('criterion', 'min_samples_leaf')",0.00282713291140629,"AP_Endometrium_Lung.csv","False",205.377863035
"('criterion', 'min_samples_split')",0.00276415848435381,"AP_Endometrium_Lung.csv","False",205.377863035
"('bootstrap', 'max_features', 'min_samples_leaf')",0.0293697585236628,"AP_Endometrium_Lung.csv","False",205.377863035
"('bootstrap', 'max_features', 'min_samples_split')",0.0278255415502094,"AP_Endometrium_Lung.csv","False",205.377863035
"bootstrap",0.0603932632286185,"AP_Lung_Uterus.csv","False",185.899647318
"criterion",0.00248432264068804,"AP_Lung_Uterus.csv","False",185.899647318
"max_features",0.295377015839768,"AP_Lung_Uterus.csv","False",185.899647318
"min_samples_leaf",0.0204609907565604,"AP_Lung_Uterus.csv","False",185.899647318
"min_samples_split",0.00736684916483664,"AP_Lung_Uterus.csv","False",185.899647318
"('bootstrap', 'max_features')",0.167575765815505,"AP_Lung_Uterus.csv","False",185.899647318
"('max_features', 'min_samples_leaf')",0.0920500554753404,"AP_Lung_Uterus.csv","False",185.899647318
"('max_features', 'min_samples_split')",0.0387526551378609,"AP_Lung_Uterus.csv","False",185.899647318
"('min_samples_leaf', 'min_samples_split')",0.0158423362221567,"AP_Lung_Uterus.csv","False",185.899647318
"('bootstrap', 'min_samples_leaf')",0.015187804208778,"AP_Lung_Uterus.csv","False",185.899647318
"('criterion', 'max_features')",0.0115019312656553,"AP_Lung_Uterus.csv","False",185.899647318
"('bootstrap', 'min_samples_split')",0.00689900142330653,"AP_Lung_Uterus.csv","False",185.899647318
"('criterion', 'min_samples_leaf')",0.00395554463778197,"AP_Lung_Uterus.csv","False",185.899647318
"('criterion', 'min_samples_split')",0.00240638249788546,"AP_Lung_Uterus.csv","False",185.899647318
"('bootstrap', 'criterion')",0.00177563385748776,"AP_Lung_Uterus.csv","False",185.899647318
"('bootstrap', 'max_features', 'min_samples_leaf')",0.0696966702436474,"AP_Lung_Uterus.csv","False",185.899647318
