,did,name,version,uploader,status,format,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures
37,37,diabetes,1,1,active,ARFF,500.0,2.0,268.0,2.0,9.0,768.0,0.0,0.0,8.0,1.0
212,212,diabetes_numeric,1,1,active,ARFF,,,,0.0,3.0,43.0,0.0,0.0,3.0,0.0
4541,4541,Diabetes130US,1,874,active,ARFF,54864.0,790.0,11357.0,3.0,50.0,101766.0,0.0,0.0,13.0,37.0
41514,41514,Diabetes(scikit-learn),1,2,active,arff,,,,0.0,11.0,442.0,0.0,0.0,11.0,0.0
42106,42106,uci_diabetes_p,1,9558,active,ARFF,,72.0,,,52.0,101766.0,100723.0,192849.0,16.0,33.0
42994,42994,early-stage-diabetes,1,24140,active,arff,,,,,17.0,520.0,0.0,0.0,1.0,0.0
43063,43063,Diabetes,6,26817,active,ARFF,,,,,9.0,768.0,0.0,0.0,8.0,1.0
43321,43321,DiabetesDataset2019,1,30123,active,arff,,,,,18.0,952.0,47.0,48.0,4.0,0.0
43341,43341,Diabetes-Dataset-2019,1,30123,active,arff,,,,,18.0,952.0,47.0,48.0,4.0,0.0
43384,43384,Diabetes-Data-Set,1,30126,active,arff,,,,0.0,9.0,768.0,0.0,0.0,9.0,0.0
43483,43483,Pima-Indians-Diabetes-Dataset,1,30126,active,arff,,,,0.0,9.0,768.0,0.0,0.0,9.0,0.0
43582,43582,Pima-Indians-Diabetes,1,30123,active,arff,,,,0.0,9.0,768.0,0.0,0.0,9.0,0.0
43643,43643,Early-Stage-Diabetes-Risk-Prediction-Dataset,1,30123,active,arff,,,,,17.0,520.0,0.0,0.0,1.0,0.0
43874,43874,Diabetes-130-Hospitals_(Fairlearn),1,30211,active,arff,,,,0.0,25.0,101766.0,0.0,0.0,7.0,5.0
1494,1494,qsar-biodeg,1,64,active,ARFF,699.0,2.0,356.0,2.0,42.0,1055.0,0.0,0.0,41.0,1.0
44,44,spambase,1,1,active,ARFF,2788.0,2.0,1813.0,2.0,58.0,4601.0,0.0,0.0,57.0,1.0
135,135,BNG(spambase),1,1,active,ARFF,605948.0,3.0,394052.0,2.0,58.0,1000000.0,0.0,0.0,0.0,58.0
44095,44095,spambase_reproduced,1,30495,active,arff,2788.0,,1813.0,2.0,58.0,4601.0,0.0,0.0,57.0,1.0
43,43,haberman,1,1,active,ARFF,225.0,12.0,81.0,2.0,4.0,306.0,0.0,0.0,2.0,2.0
1471,1471,eeg-eye-state,1,64,active,ARFF,8257.0,2.0,6723.0,2.0,15.0,14980.0,0.0,0.0,14.0,1.0
4135,4135,Amazon_employee_access,1,2,active,ARFF,30872.0,7518.0,1897.0,2.0,10.0,32769.0,0.0,0.0,0.0,10.0
43900,43900,amazon_employee_access,2,30861,active,ARFF,30872.0,,1897.0,2.0,10.0,32769.0,0.0,0.0,0.0,10.0
1489,1489,phoneme,1,64,active,ARFF,3818.0,2.0,1586.0,2.0,6.0,5404.0,0.0,0.0,5.0,1.0
1464,1464,blood-transfusion-service-center,1,64,active,ARFF,570.0,2.0,178.0,2.0,5.0,748.0,0.0,0.0,4.0,1.0
15,15,breast-w,1,1,active,ARFF,458.0,2.0,241.0,2.0,10.0,699.0,16.0,16.0,9.0,1.0
251,251,BNG(breast-w),1,1,active,ARFF,25820.0,2.0,13546.0,2.0,10.0,39366.0,0.0,0.0,9.0,1.0
151,151,electricity,1,1,active,ARFF,26075.0,7.0,19237.0,2.0,9.0,45312.0,0.0,0.0,7.0,2.0
1168,1168,electricity_prices_ICON,1,2,active,ARFF,,,,,,,,,,
40985,40985,tamilnadu-electricity,3,4265,active,ARFF,2906.0,20.0,1397.0,20.0,4.0,45781.0,0.0,0.0,2.0,2.0
43588,43588,Household-monthly-electricity-bill,1,30123,active,arff,,,,,10.0,1000.0,0.0,0.0,10.0,0.0
43805,43805,Daily-Electricity-Price-and-Demand-Data,1,30125,active,arff,,,,,14.0,2106.0,4.0,4.0,11.0,0.0
1460,1460,banana,1,64,active,ARFF,2924.0,2.0,2376.0,2.0,3.0,5300.0,0.0,0.0,2.0,1.0
337,337,SPECTF,1,2,active,ARFF,254.0,2.0,95.0,2.0,45.0,349.0,0.0,0.0,44.0,1.0
1181,1181,BNG(spectf_test),1,1,active,ARFF,784810.0,2.0,215190.0,2.0,45.0,1000000.0,0.0,0.0,44.0,1.0
1212,1212,BNG(SPECTF),1,1,active,ARFF,718700.0,2.0,281300.0,2.0,45.0,1000000.0,0.0,0.0,44.0,1.0
4548,4548,BuzzinsocialmediaTomsHardware,1,874,active,ARFF,,,,,97.0,28179.0,0.0,0.0,97.0,0.0
1488,1488,parkinsons,1,64,active,ARFF,147.0,2.0,48.0,2.0,23.0,195.0,0.0,0.0,22.0,1.0
4531,4531,parkinsons-telemonitoring,1,874,active,ARFF,,,,,22.0,5875.0,0.0,0.0,22.0,0.0
4540,4540,ParkinsonSpeechDatasetwithMultipleTypesofSoundRecordings,1,874,active,ARFF,,,,,29.0,1039.0,0.0,0.0,29.0,0.0
