param,importance,dataset,imputation,time_taken
criterion,0.000721459640156082,AP_Breast_Omentum.csv,False,361.8252283940092
learning_rate,0.09491376033263618,AP_Breast_Omentum.csv,False,361.8252283940092
max_depth,0.02593457360108927,AP_Breast_Omentum.csv,False,361.8252283940092
max_features,0.1965010037766259,AP_Breast_Omentum.csv,False,361.8252283940092
min_samples_leaf,0.06613840929048917,AP_Breast_Omentum.csv,False,361.8252283940092
min_samples_split,0.00613636898935183,AP_Breast_Omentum.csv,False,361.8252283940092
n_estimators,0.011909935360115271,AP_Breast_Omentum.csv,False,361.8252283940092
"('learning_rate', 'max_depth')",0.10658272712009674,AP_Breast_Omentum.csv,False,361.8252283940092
"('learning_rate', 'min_samples_leaf')",0.08594538379141237,AP_Breast_Omentum.csv,False,361.8252283940092
"('learning_rate', 'max_features')",0.06893804346423327,AP_Breast_Omentum.csv,False,361.8252283940092
"('learning_rate', 'n_estimators')",0.025609852952884912,AP_Breast_Omentum.csv,False,361.8252283940092
"('max_features', 'min_samples_leaf')",0.013938331995609886,AP_Breast_Omentum.csv,False,361.8252283940092
"('min_samples_leaf', 'n_estimators')",0.013791684614394416,AP_Breast_Omentum.csv,False,361.8252283940092
"('max_depth', 'max_features')",0.012631983645491044,AP_Breast_Omentum.csv,False,361.8252283940092
"('max_depth', 'min_samples_leaf')",0.012421916771214656,AP_Breast_Omentum.csv,False,361.8252283940092
"('max_depth', 'n_estimators')",0.008998334422302556,AP_Breast_Omentum.csv,False,361.8252283940092
"('min_samples_leaf', 'min_samples_split')",0.008825741291107862,AP_Breast_Omentum.csv,False,361.8252283940092
"('criterion', 'max_features', 'min_samples_leaf')",0.0012912146332756272,AP_Breast_Omentum.csv,False,361.8252283940092
criterion,0.0033898341665084403,AP_Breast_Prostate.csv,False,215.5407277889899
learning_rate,0.15050497656583028,AP_Breast_Prostate.csv,False,215.5407277889899
max_depth,0.009197600940681203,AP_Breast_Prostate.csv,False,215.5407277889899
max_features,0.04587681298286461,AP_Breast_Prostate.csv,False,215.5407277889899
min_samples_leaf,0.016696364008877546,AP_Breast_Prostate.csv,False,215.5407277889899
min_samples_split,0.015175478439678657,AP_Breast_Prostate.csv,False,215.5407277889899
n_estimators,0.01899322888393337,AP_Breast_Prostate.csv,False,215.5407277889899
"('learning_rate', 'max_features')",0.05797304170112326,AP_Breast_Prostate.csv,False,215.5407277889899
"('learning_rate', 'min_samples_split')",0.03930909437889095,AP_Breast_Prostate.csv,False,215.5407277889899
"('learning_rate', 'n_estimators')",0.03759084558623903,AP_Breast_Prostate.csv,False,215.5407277889899
"('learning_rate', 'min_samples_leaf')",0.03261693032130705,AP_Breast_Prostate.csv,False,215.5407277889899
"('learning_rate', 'max_depth')",0.022437951631073556,AP_Breast_Prostate.csv,False,215.5407277889899
"('max_features', 'min_samples_leaf')",0.018772564309695462,AP_Breast_Prostate.csv,False,215.5407277889899
"('max_features', 'n_estimators')",0.017004705490892582,AP_Breast_Prostate.csv,False,215.5407277889899
"('min_samples_leaf', 'n_estimators')",0.016738409687019354,AP_Breast_Prostate.csv,False,215.5407277889899
"('min_samples_split', 'n_estimators')",0.013600609525110871,AP_Breast_Prostate.csv,False,215.5407277889899
"('max_features', 'min_samples_split')",0.012674729944544577,AP_Breast_Prostate.csv,False,215.5407277889899
"('criterion', 'max_features', 'min_samples_leaf')",0.0025428451060650527,AP_Breast_Prostate.csv,False,215.5407277889899
criterion,0.00042150715493173216,analcatdata_homerun.csv,True,5235.8576899649925
