gamma,kernel,"('gamma', 'kernel')","('coef0', 'gamma')","('gamma', 'imputation')","('imputation', 'kernel')","('coef0', 'imputation')","('C', 'imputation')","('imputation', 'tol')",dataset
0.0017015276041163025,0.9846164330433482,0.004924765636172659,0.0003656433773704957,,,,,,phpkIxskf.csv
0.13467729792530891,0.005933025807556953,0.04047057082291772,0.06321455318005835,,,,,,phpmPOD5A.csv
0.014195460741680816,0.6936155700287037,0.013403378567523959,0.010576375177753,,,,,,gina_agnostic.csv
0.1478383424804168,0.046357052109490496,0.1454364510847698,0.054803404265012616,0.011866396100065277,,,,,analcatdata_broadwaymult.csv
0.13172635425901413,0.3808807800516884,0.13526868639725187,0.029924349572504783,,,,,,analcatdata_cyyoung9302.csv
0.04133644396270498,0.4555734191514346,0.05669378889325884,0.02188052227611586,,,,,,analcatdata_dmft.csv
0.005193288311424194,0.7090497156980179,0.0034090387324473745,0.0017066672763564232,0.002049258733908869,0.010550904201909002,0.0013508626746949672,0.0010807701664427708,,analcatdata_marketing.csv
0.012995828291493415,0.7483016731445044,0.012146660015566454,0.017458523076504258,,,,,,analcatdata_reviewer.csv
0.33678947227906103,0.05509204062084905,0.041234862159965,0.09404011188498916,,,,,,arsenic-male-bladder.csv
0.1227679185415314,0.5972334610014656,0.0541605472394359,0.02306696503447302,,,,,,audiology.csv
0.22389473776022525,0.5656586887235053,0.0648356876331405,0.0035983238619603968,0.004831203877524573,0.010796342013793907,0.0014465731503103562,0.0014729176060710193,,autoHorse.csv
0.05172445948098487,0.8781360614572722,0.030434747424052888,0.0020789416502672567,0.0010887851305789334,0.0004041696191495508,,,,autoMpg.csv
0.06024229878660466,0.860396300887337,0.01862320741717403,0.0021073575401444507,0.0015272087025634587,,,0.0005649035091639459,,autos.csv
0.3578826787252528,0.30012597007323993,0.2822084914070189,0.002607872853358378,0.0008721779594169282,,,,,biomed.csv
0.15026900979283636,0.4356515360699819,0.15665389041457606,0.009009749017722678,0.006851677152786295,,0.0034400694331865878,0.00426796293748451,,braziltourism.csv
0.010788478563136184,0.8953363618230935,0.009182282503713758,0.002765688050120793,0.002986594909404016,0.002530642342817798,0.0010681978652110336,0.0010773853900151065,0.0009591144753310762,bridges.csv
0.1687654607972586,0.5677045681355221,0.1328817025343378,0.01778913716685421,0.0008098380286050133,,,,,cars.csv
0.016707952993030926,0.938014597362396,0.010598216730065406,0.0035374088146286633,,,,,,colleges_aaup.csv
0.1162402686279014,0.09916420160795056,0.1018861196194424,0.025421418912260418,0.02767215930730422,,,,0.007059039766177148,dataset_105_lung-cancer.csv
0.032452200877645436,0.8752400563317932,0.025293128186418632,0.004342631941199232,,,,,,dataset_106_molecular-biology_promoters.csv
0.04709712566515535,0.8478943546606659,0.0201132366200139,0.007996120992217842,,,,,,dataset_113_primary-tumor.csv
0.09752809983510152,0.819750689085968,0.03987766263979287,0.009334397897376754,,,,,,dataset_11_balance-scale.csv
0.11988630908362395,0.8170151264246109,0.03630544021762843,0.003963647320522378,,,,,,dataset_185_yeast.csv
0.4773168033665143,0.14485108984905398,0.13198879404489344,0.02277464627545122,0.00563742480472094,,,,,dataset_190_braziltourism.csv
0.5410103720728878,0.05059204208428195,0.2727858003333597,0.015993185106252472,0.0012895657052238425,,,,,dataset_194_eucalyptus.csv
0.02401594292743786,0.8548498881091393,0.039871083165701864,0.010541037703096612,,,,,,dataset_23_cmc.csv
0.046664237505015964,0.7275543801283186,0.008874406330684755,0.00401547420551693,0.007131306850775149,0.006055546090975317,0.004794961901855436,0.003722120411065025,,dataset_25_colic.ORIG.csv
0.057602391657689316,0.8713338561202592,0.045861497242121435,0.002242640239493244,,,,,,dataset_29_credit-a.csv
0.04704690942090664,0.9198057573115992,0.01974613032873681,0.0014740772867497586,,,,,,dataset_35_dermatology.csv
0.3370876121385561,0.03938523421284943,0.2698763469631485,0.033941384180708266,,,,,,dataset_37_diabetes.csv
0.5938505339713172,0.03222265806723233,0.26659578074061624,0.012553628437325128,,,,,,dataset_39_ecoli.csv
0.40586237413789794,0.17929113703393745,0.11213903543541467,0.023147445544883332,,,,,,dataset_40_sonar.csv
0.04074857399341991,0.8954867813050942,0.02384844543407934,0.0053756417086333,,,,,,dataset_41_glass.csv
0.00883983663359033,0.9554472361630141,0.00786146355877777,0.0015085749840355756,,,,,,dataset_48_tae.csv
0.12634905415630573,0.6979650155302544,0.037461090849368384,0.01028415818696528,0.0023183824129903905,,,,,dataset_4_labor.csv
0.15478903068719874,0.7412728123033303,0.04390343637361945,0.009865402409241698,,,,,,dataset_50_tic-tac-toe.csv
0.11235738086560906,0.7144373481703858,0.08463463581772104,0.003619665660536708,,,0.0007809931689853778,,,dataset_51_heart-h.csv
0.09128941403061036,0.8058996766095099,0.07033182046245852,0.0029420337779466573,,,,,,dataset_53_heart-statlog.csv
0.29960028691360097,0.4643167857099771,0.2077521416871748,0.003716395440032109,,,,,,dataset_54_vehicle.csv
0.04003892801942061,0.11753828750661485,0.04104633218558433,0.019601834024088025,0.02228294034598184,0.03034913118635048,0.010543641882612273,0.0113367641958775,,dataset_55_hepatitis.csv
0.1139105742252235,0.7446005442097559,0.058953779834090586,0.003940499917384977,,,,,,dataset_56_vote.csv
0.3362859684834347,0.3240626203861546,0.24482686235603396,0.016223445793420756,,,,,,dataset_59_ionosphere.csv
0.04046136613290688,0.8913075523795752,0.03342180881427489,0.004196137665477365,,,,,,dataset_61_iris.csv
0.0983513816889184,0.8255078364664292,0.022898658297199663,0.0059577666538246895,,,,,,dataset_7_audiology.csv
0.0262646472503814,0.9169143588109812,0.01824347628822966,0.003180733714854629,0.0004728256933302042,,,,,dataset_9_autos.csv
0.4600686355336232,0.08538931243503406,0.3844709126282748,0.007900038353632658,,,,,,fri_c2_1000_10.csv
0.0075947699664303935,0.9829847921576702,0.005500485250281343,0.0005621200834541068,,,,,,fri_c2_1000_5.csv
0.2318954677090279,0.2690304136357892,0.4299040520520382,0.00693561240930942,,,,,,fri_c3_500_10.csv
0.048394292581363615,0.8582244377178779,0.06456120447824015,0.001828455854579586,0.0002534443445520207,,,,,heart-c.csv
0.06912704333803782,0.8208749236710132,0.037084330685615334,0.009284947516532088,0.000754063580459691,,,,,irish.csv
0.17332984210239127,0.45079840127271004,0.06579223699584266,0.050615482491615967,,,,,,kc2.csv
0.0315725948477046,0.9202726140750472,0.031440585579086085,0.001563265654653178,,,,,,mfeat-morphological.csv
0.30870226322882743,0.2886943863885359,0.3201149216540911,0.005761243605802068,0.0009723937970463447,,,,,openml_phpJNxH0q.csv
0.017502073852466608,0.9493731221785312,0.016280764875649098,0.0012419957538056636,,,,,,openml_phpZNNasq.csv
0.058770760270304666,0.7465698144155563,0.046923148869040386,0.006727078070600514,0.0028839564877967995,,,,,pbc.csv
0.011230258839612478,0.9333628604887824,0.03206143645695365,0.0023181646136128647,,,,,,pc1.csv
0.218042300144371,0.5567295261488535,0.07166350847387147,0.016836086164807352,,,,,,php0iVrYT.csv
0.01627745054935853,0.9277630936360208,0.0324301473746906,0.0040599151663803425,,,,,,php4fATLZ.csv
0.16226207511662288,0.7082544415239659,0.06616054229226481,0.009825063137445751,,,,,,php4ylQmK.csv
0.011331528484356491,0.952402609473704,0.01171930894685652,0.004609344779694868,,,,,,php50jXam.csv
0.10542527294654344,0.2529743451898973,0.05087890409199782,0.0335845160354634,,,,,,php5J5AK6.csv
0.0044528538052230286,0.9599369882234744,0.00450954940045058,0.0017349403359949893,,,,,,php7KLval.csv
0.035295529210364496,0.6118886173627216,0.03637643135080058,0.019129596575266063,,,,,,phpajta2z.csv
0.014038585271238566,0.8934325963820826,0.015059575247803087,0.007020098284034729,,,,,,phpBG0Qsi.csv
0.02947544729809953,0.9387172749820564,0.022769320988002915,0.001176586566078276,,,,,,phpd8EoD9.csv
0.12210502691993687,0.7548946895313667,0.10504327452747964,0.0019548788184697227,,,,,,phpelnJ6y.csv
0.2787186652708947,0.5877284706508679,0.08475364382974729,0.005006607690437869,,,,,,phpfKh1CO.csv
0.4801264108605125,0.19130142086035132,0.2916317997952461,0.006645996757577778,,,,,,phpflaNJC.csv
0.005303913464669575,0.9681238228300288,0.00845748996588232,0.0015351701911238446,,,,,,phpFsFYVN.csv
0.12763290244630576,0.4108876681863115,0.06890945782243173,0.02790704444865228,,,,,,phpgNaXZe.csv
0.3646773923310465,0.23736013507740825,0.16156842181262554,0.01048863969508751,0.004934637749509328,0.006813752014484057,,,,phpH2fvsy.csv
0.08784942683120528,0.6149987198662066,0.038878948169229016,0.007184168356438381,0.009921416616648648,0.013080926840004396,0.0036414373022826078,0.002979659910355461,0.0030473895109384844,phpjuWdq9.csv
0.20419407574511414,0.2699172509864612,0.0961094805561961,0.019456288347429056,0.007823934740873194,,,0.004309738946401631,,phplVyjYQ.csv
0.30248382269119073,0.4400676213146873,0.06269836278368003,0.012986764365047893,,,,,,phpnYQXoc.csv
0.052544065166671886,0.8385183583700215,0.04137068116180035,0.004833525533501672,,,,,,phpOJxGL9.csv
0.22655134699480636,0.4169493092671529,0.2499137908465767,0.014907158960404857,,,,,,phpRql5hp.csv
0.14500755850079544,0.5502544534674734,0.04355027248762907,0.021259626189931963,,,,,,phpSF8oeR.csv
0.10717563759537073,0.7757595856920902,0.07850484977462488,0.004321134402255023,,,,,,phpSj3fWL.csv
0.4746176849411382,0.2052433889532047,0.25058987024865603,0.012605851388525654,,,,,,phpSOw1Kl.csv
0.01179098056684478,0.91383763316485,0.0131302732164337,0.004535266828286253,,,,,,phpSRnbqC.csv
0.008363504533654361,0.9529810355581564,0.010002488490142538,0.0026589232184947693,,,,,,phptbYBGx.csv
0.08387849762417053,0.5195031109175599,0.058954719378031165,0.025083823381092725,,,,,,phpTXWrKb.csv
0.09116440955729953,0.5682299717542139,0.12771143012104685,0.011724539836072028,0.008342079826990588,0.003915610796294404,,,,phpu00N5N.csv
0.0060990791487531325,0.9165086049187979,0.004201761300571451,0.002289214078358149,,,,,,phpVDlhKL.csv
0.06498484002129434,0.8572113748259336,0.021935046732769817,0.005307253673821622,,,,,,phpvz1IQW.csv
0.011261823240519706,0.8806732628442855,0.012586470596732685,0.004292488779429843,,,,,,phpXeun7q.csv
0.016823004369977326,0.8812217128712847,0.01952925352849883,0.005933417679941346,,,,,,phpXxoe1Q.csv
0.10321989133772053,0.4747372715872484,0.08088162586125111,0.03249496485612883,,,,,,phpy0HwUD.csv
0.008860196239256853,0.9212010346489956,0.0093101510983198,0.0031983750710449783,,,,,,phpysQLwp.csv
0.015397346603747752,0.7597150984018793,0.07889084596693037,0.01825989038738214,,,,,,profb.csv
0.22102753179460996,0.3646642413798207,0.0937138514826006,0.01386931398164182,0.01970413677012013,,0.003144555272129684,,,schizo.csv
0.0769569337844725,0.837663103957895,0.020505910775100326,0.008739867490956494,,,,,,solar-flare_1.csv
0.04216058825615948,0.9119880877458322,0.035636121577453134,0.0010412419443779882,,,,,,vowel.csv
0.01950523755805772,0.9478579627566956,0.018290689046114143,0.00080432915923983,,,,,,wine-quality-red.csv
0.00169746768363479,0.9260857250596282,0.0017876925748850066,0.0016544833405073825,,,,,,AP_Breast_Omentum.csv
0.0014658397906126461,0.9816640452951174,0.001985714215342787,0.0007594610445308657,,,,,,AP_Breast_Prostate.csv
0.007965908188550152,0.876577384800793,0.008211193198950861,0.003610025868809674,0.0014710460967685775,,0.0015171260563878993,,,analcatdata_homerun.csv
0.041428481896874536,0.9266952805897876,0.014547476742569612,0.0022024826831464946,,,,,,phpYLeydd.csv
0.19831879187718865,0.0009361512058241678,,0.0705671544599457,0.020602466273957856,,0.013942490181354641,0.009984429904973238,0.010115685361493121,speeddating.csv
0.013625019799490188,0.9642734513969756,0.0037406384140289337,0.0005368152137773426,,,,,,php9HX2u8.csv
0.4628247227120204,0.10308435098932398,0.4134166180023043,0.002606497579620044,,,,,,jungle_chess_2pcs_endgame_panther_lion.csv
0.2143610702872509,0.6213703506216469,0.13412132223596118,0.0017425636859087006,,,,,,dataset_24_mushroom.csv
0.02546335371425617,0.9539920480693996,0.013042358819854423,0.0011446105789602145,,,,,,phpVeNa5j.csv
0.013712647015798824,0.9704001664865108,0.003648910893984117,0.0006215561590699977,,,,,,phpZrCzJR.csv
0.3941842968209424,0.44793521134915376,0.1029874948214189,0.005822634965029554,,,,,,phpoOxxNn.csv
0.13545741992200286,0.7468629169323631,0.0979109933972269,0.0010281267011018843,,,,,,dataset_6_letter.csv
0.6009500516566877,0.013139347624631842,0.1867835765999684,0.0338446869698658,,,,,,dataset_44_spambase.csv
0.2965555038141941,0.5472656431449531,0.1026967528010747,0.0039853125569958014,,,,,,phpCsX3fx.csv
