param,importance,dataset,imputation,time_taken
bootstrap,0.18311000951272705,phphQEck0.csv,False,299.253912212007
criterion,0.022472972457920695,phphQEck0.csv,False,299.253912212007
max_features,0.011592852130750958,phphQEck0.csv,False,299.253912212007
min_samples_leaf,0.6596995359392865,phphQEck0.csv,False,299.253912212007
min_samples_split,0.001433094769093756,phphQEck0.csv,False,299.253912212007
"('bootstrap', 'min_samples_leaf')",0.04038453673883976,phphQEck0.csv,False,299.253912212007
"('max_features', 'min_samples_leaf')",0.010084419043974023,phphQEck0.csv,False,299.253912212007
"('min_samples_leaf', 'min_samples_split')",0.007380063918035962,phphQEck0.csv,False,299.253912212007
"('criterion', 'min_samples_leaf')",0.006677928254651378,phphQEck0.csv,False,299.253912212007
"('bootstrap', 'max_features')",0.003583595935040592,phphQEck0.csv,False,299.253912212007
"('criterion', 'max_features')",0.0027905518677913076,phphQEck0.csv,False,299.253912212007
"('max_features', 'min_samples_split')",0.0025670048164555944,phphQEck0.csv,False,299.253912212007
"('bootstrap', 'min_samples_split')",0.001517417578513386,phphQEck0.csv,False,299.253912212007
"('criterion', 'min_samples_split')",0.0005992260688453341,phphQEck0.csv,False,299.253912212007
"('bootstrap', 'criterion')",0.0004277802647239867,phphQEck0.csv,False,299.253912212007
"('bootstrap', 'max_features', 'min_samples_leaf')",0.007889467541188236,phphQEck0.csv,False,299.253912212007
"('bootstrap', 'max_features', 'min_samples_split')",0.0016578191774826627,phphQEck0.csv,False,299.253912212007
bootstrap,0.04721409983939292,phpkIxskf.csv,False,287.73927691100107
criterion,0.01967548657727283,phpkIxskf.csv,False,287.73927691100107
max_features,0.4435310571163136,phpkIxskf.csv,False,287.73927691100107
min_samples_leaf,0.025340804342849,phpkIxskf.csv,False,287.73927691100107
min_samples_split,0.004336191752014319,phpkIxskf.csv,False,287.73927691100107
"('bootstrap', 'max_features')",0.13504764202944808,phpkIxskf.csv,False,287.73927691100107
"('max_features', 'min_samples_leaf')",0.09692753954558173,phpkIxskf.csv,False,287.73927691100107
"('bootstrap', 'min_samples_leaf')",0.04025238367014268,phpkIxskf.csv,False,287.73927691100107
"('max_features', 'min_samples_split')",0.012830267329494929,phpkIxskf.csv,False,287.73927691100107
"('criterion', 'max_features')",0.011864757667351056,phpkIxskf.csv,False,287.73927691100107
"('min_samples_leaf', 'min_samples_split')",0.008245106907167555,phpkIxskf.csv,False,287.73927691100107
"('criterion', 'min_samples_leaf')",0.005455763797769443,phpkIxskf.csv,False,287.73927691100107
"('bootstrap', 'min_samples_split')",0.003568697613039592,phpkIxskf.csv,False,287.73927691100107
"('criterion', 'min_samples_split')",0.0021453925018009848,phpkIxskf.csv,False,287.73927691100107
"('bootstrap', 'criterion')",0.0012743661749203955,phpkIxskf.csv,False,287.73927691100107
"('bootstrap', 'max_features', 'min_samples_leaf')",0.0383183929763342,phpkIxskf.csv,False,287.73927691100107
"('bootstrap', 'max_features', 'min_samples_split')",0.009248167107409213,phpkIxskf.csv,False,287.73927691100107
bootstrap,0.03931991348841912,dataset_186_satimage.csv,False,233.13575460801076
criterion,0.0008161781435819563,dataset_186_satimage.csv,False,233.13575460801076
max_features,0.16667362702163796,dataset_186_satimage.csv,False,233.13575460801076
min_samples_leaf,0.6219757688000833,dataset_186_satimage.csv,False,233.13575460801076
min_samples_split,0.005154425223179315,dataset_186_satimage.csv,False,233.13575460801076
"('bootstrap', 'max_features')",0.04896401707106608,dataset_186_satimage.csv,False,233.13575460801076
"('max_features', 'min_samples_leaf')",0.033150014579437004,dataset_186_satimage.csv,False,233.13575460801076
"('min_samples_leaf', 'min_samples_split')",0.012367379365025657,dataset_186_satimage.csv,False,233.13575460801076
"('bootstrap', 'min_samples_leaf')",0.006735224359987805,dataset_186_satimage.csv,False,233.13575460801076
"('max_features', 'min_samples_split')",0.005909116808005844,dataset_186_satimage.csv,False,233.13575460801076
"('criterion', 'min_samples_leaf')",0.0012990190492409932,dataset_186_satimage.csv,False,233.13575460801076
"('bootstrap', 'min_samples_split')",0.001237694269048711,dataset_186_satimage.csv,False,233.13575460801076
"('criterion', 'max_features')",0.0010999007381125969,dataset_186_satimage.csv,False,233.13575460801076
"('criterion', 'min_samples_split')",0.0002722703787077215,dataset_186_satimage.csv,False,233.13575460801076
"('bootstrap', 'criterion')",0.0001127362490306543,dataset_186_satimage.csv,False,233.13575460801076
"('bootstrap', 'max_features', 'min_samples_leaf')",0.016541233204848134,dataset_186_satimage.csv,False,233.13575460801076
"('bootstrap', 'max_features', 'min_samples_split')",0.0021736112705213763,dataset_186_satimage.csv,False,233.13575460801076
bootstrap,0.13764238848822458,phpGReJjU.csv,False,222.8091618949984
criterion,0.17022735944196365,phpGReJjU.csv,False,222.8091618949984
max_features,0.3086280499531323,phpGReJjU.csv,False,222.8091618949984
min_samples_leaf,0.07746645422030932,phpGReJjU.csv,False,222.8091618949984
min_samples_split,0.0007064916502267935,phpGReJjU.csv,False,222.8091618949984
"('criterion', 'max_features')",0.07268486386270048,phpGReJjU.csv,False,222.8091618949984
"('bootstrap', 'criterion')",0.055680868381708125,phpGReJjU.csv,False,222.8091618949984
"('bootstrap', 'max_features')",0.05475428987646286,phpGReJjU.csv,False,222.8091618949984
"('max_features', 'min_samples_leaf')",0.036323079651059006,phpGReJjU.csv,False,222.8091618949984
"('criterion', 'min_samples_leaf')",0.013286377536168128,phpGReJjU.csv,False,222.8091618949984
"('bootstrap', 'min_samples_leaf')",0.005311562536067469,phpGReJjU.csv,False,222.8091618949984
"('max_features', 'min_samples_split')",0.001307741464945561,phpGReJjU.csv,False,222.8091618949984
"('min_samples_leaf', 'min_samples_split')",0.0012975135900954705,phpGReJjU.csv,False,222.8091618949984
"('criterion', 'min_samples_split')",0.0007412948892770662,phpGReJjU.csv,False,222.8091618949984
"('bootstrap', 'min_samples_split')",0.0006133203309710002,phpGReJjU.csv,False,222.8091618949984
"('bootstrap', 'max_features', 'min_samples_leaf')",0.005621677782822157,phpGReJjU.csv,False,222.8091618949984
"('bootstrap', 'max_features', 'min_samples_split')",0.0011830360023176796,phpGReJjU.csv,False,222.8091618949984
bootstrap,0.42635721811718197,leukemia.csv,False,212.606176168003
criterion,0.0002177894360409957,leukemia.csv,False,212.606176168003
max_features,0.25641871483346734,leukemia.csv,False,212.606176168003
min_samples_leaf,0.0052454076322478735,leukemia.csv,False,212.606176168003
min_samples_split,0.003166269891924996,leukemia.csv,False,212.606176168003
"('bootstrap', 'max_features')",0.16096380126439547,leukemia.csv,False,212.606176168003
"('max_features', 'min_samples_leaf')",0.02121775749146077,leukemia.csv,False,212.606176168003
"('bootstrap', 'min_samples_leaf')",0.015822688481427902,leukemia.csv,False,212.606176168003
"('max_features', 'min_samples_split')",0.013154882487412482,leukemia.csv,False,212.606176168003
"('min_samples_leaf', 'min_samples_split')",0.004229433002658365,leukemia.csv,False,212.606176168003
"('bootstrap', 'min_samples_split')",0.0036101326970084035,leukemia.csv,False,212.606176168003
"('criterion', 'max_features')",0.003073665663913213,leukemia.csv,False,212.606176168003
"('criterion', 'min_samples_leaf')",0.0010750236360236162,leukemia.csv,False,212.606176168003
"('criterion', 'min_samples_split')",0.0007226036525571924,leukemia.csv,False,212.606176168003
"('bootstrap', 'criterion')",0.0004666004617100433,leukemia.csv,False,212.606176168003
"('bootstrap', 'max_features', 'min_samples_leaf')",0.022903828816584624,leukemia.csv,False,212.606176168003
"('bootstrap', 'max_features', 'min_samples_split')",0.013635406050946972,leukemia.csv,False,212.606176168003
bootstrap,0.13589772256315258,dataset_183_adult.csv,False,231.53959742300503
criterion,0.00034485176234762933,dataset_183_adult.csv,False,231.53959742300503
max_features,0.26265120638302214,dataset_183_adult.csv,False,231.53959742300503
