Landmarker_1NN,Landmarker_dt,Landmarker_gnb,Landmarker_lda,class_entropy,dataset_ratio,equiv_nr_feat,kurtosis_max,kurtosis_mean,kurtosis_min,kurtosis_q1,kurtosis_q3,kurtosis_std,labels_mean,labels_std,log_nr_features,log_nr_instances,mi_max,mi_mean,mi_min,mi_std,missing_val,noise_signal_ratio,norm_entropy_max,norm_entropy_mean,norm_entropy_min,norm_entropy_std,nr_categorical_features,num_imput_type,prob_max,prob_mean,prob_min,prob_std,rho_max,rho_mean,rho_min,rho_std,skew_max,skew_mean,skew_min,skew_q1,skew_q3,skew_std,dataset
0.7527,0.9998,0.9786,0.9737,0.944330826,0.0014,14.75255897,-0.389468657,-1.115477275,-1.200004417,-1.200002539,-1.199995596,0.223122173,2,0,2.63905733,9.210340372,0.578319651,0.064011324,0.000413414,0.149276861,0,2.832225424,0.25,0.245305822,0.216495011,0.011071206,1,,0.638,0.5,0.362,0.138,0.584554283,0.060109392,0.000490882,0.133446104,0.018663442,0.00241446,6.14E-07,2.74E-06,4.80E-06,0.005775116,aaaData_for_UCI_named.csv
0.994046594,0.941446836,0.985809322,0.998823529,1.787416049,0.084423306,10.37708926,21.23171723,2.35912946,-0.790261586,0.365953089,2.383871161,3.634263392,4,0,4.262679877,6.73459166,0.517604303,0.172246379,0.027051629,0.10631916,0,0.428645891,0.309274316,0.246079082,0.119491763,0.042161434,1,,0.376932224,0.25,0.065398335,0.125047621,0.70645842,0.14842389,2.00E-05,0.115522347,4.087186737,1.115865224,0.040708921,0.707035159,1.325906397,0.675895999,analcatdata_authorship.csv
0.155181503,0.51971692,0.208360874,0.432359361,2.475263409,0.028070175,127.553732,-0.476766766,-1.061569872,-1.429520304,-1.337815842,-0.89375024,0.366936872,25.75,39.98359038,2.079441542,5.65248918,0.315207802,0.019405653,0.007004379,0.041989366,54,0.450684067,0.381358831,0.028151471,0.01033284,0.065695939,4,mean,0.414035088,0.142857143,0.073684211,0.112244892,0.507886902,0.245806274,2.33E-18,0.180047126,0.672029714,0.444577813,0.146872608,0.253348958,0.670933319,0.232211212,analcatdata_broadwaymult.csv
0.169754994,0.482786156,0.23230962,0.478113523,2.475263409,0.028070175,129.2129454,-0.460015659,-1.05733503,-1.428635945,-1.338116824,-0.889562463,0.373518483,25.75,39.98359038,2.079441542,5.65248918,0.315207802,0.019156466,0.007004379,0.041295965,54,0.467036505,0.38010259,0.028103235,0.01033284,0.065437305,4,median,0.414035088,0.142857143,0.073684211,0.112244892,0.509910574,0.196337624,2.21E-18,0.189291718,0.701465953,0.454979366,0.159259034,0.255186831,0.679388774,0.236368049,analcatdata_broadwaymult.csv
0.154291694,0.458556885,0.228989875,0.479838364,2.475263409,0.028070175,129.0145466,-0.557569712,-1.11108133,-1.521083577,-1.379966369,-0.913950977,0.36394684,25.75,39.98359038,2.079441542,5.65248918,0.315207802,0.019185925,0.007004379,0.041298802,54,0.46111229,0.378545783,0.028032791,0.01033284,0.065060534,4,mode,0.414035088,0.142857143,0.073684211,0.112244892,0.434764161,0.221029172,2.30E-18,0.155448159,0.679614978,0.439711676,0.085979667,0.262411675,0.67392603,0.250345422,analcatdata_broadwaymult.csv
0.842222222,0.805,0.439722222,0.740833333,0.734781352,0.119565217,37.19580399,0.940332859,-0.756444385,-1.885215208,-1.811054745,-0.261965218,0.971204491,21,26.87005769,2.397895273,4.521788577,0.20507738,0.019754415,0.00072009,0.04027138,0,2.300706097,0.482416121,0.065203518,0.013260273,0.121172024,3,,0.793478261,0.5,0.206521739,0.293478261,0.971401728,0.415816415,0.003574744,0.335401229,1.47410232,0.531524194,0.084449299,0.21060513,0.769771194,0.464267384,analcatdata_cyyoung9302.csv
0.159107218,0.198017608,0.203437145,0.209823205,2.580259208,0.006273526,130.2086507,-0.555417872,-0.874734699,-1.194051526,-1.034393113,-0.715076286,0.319316827,3.666666667,1.699673171,1.609437912,6.680854679,0.042738617,0.019816342,0.003250983,0.015031383,0,6.608802959,0.319865456,0.150778645,0.060758536,0.091742818,3,,0.194479297,0.166666667,0.154328733,0.013656831,0.593367975,0.593367975,0.593367975,0,0.65352268,0.427300003,0.201077325,0.314188664,0.540411341,0.226222677,analcatdata_dmft.csv
0.404458204,0.476026832,0.160936533,0.476529928,1.288770779,0.165644172,37.29977633,36.93503018,2.280268679,-2.02484472,-1.397989596,1.210545965,8.474812653,7,0,3.295836866,5.093750201,0.107126524,0.034551703,0.003794879,0.032071247,16,4.228528379,0.45196426,0.180654558,0.007335678,0.152251192,3,mean,0.619631902,0.2,0.006134969,0.238510691,0.999834546,0.100484031,7.51E-18,0.139255923,6.203382689,1.00176248,0,0.038084433,1.147575256,1.550310039,analcatdata_homerun.csv
0.482875817,0.512099673,0.177892157,0.486364379,1.239028293,0.165644172,45.42170968,36.93503018,2.280749535,-2.02484472,-1.39806939,1.210545965,8.475458222,7,0,3.295836866,5.093750201,0.093205925,0.027278328,0.002670283,0.02749705,16,5.609496008,0.45196426,0.180296,0.007335678,0.152379174,3,median,0.625766871,0.25,0.012269939,0.245987599,0.999834546,0.100521815,7.51E-18,0.139222834,6.203382689,1.002779221,0,0.038084433,1.148709352,1.550290258,analcatdata_homerun.csv
0.452085913,0.502870227,0.184582043,0.484476264,1.239028293,0.165644172,45.61945211,36.93503018,2.27923992,-2.02484472,-1.410040013,1.210545965,8.476102009,7,0,3.295836866,5.093750201,0.093205925,0.027160087,0.002670283,0.027394251,16,5.632518737,0.451888935,0.180139787,0.007335678,0.152403981,3,mode,0.625766871,0.25,0.012269939,0.245987599,0.999834546,0.100160417,0.000802975,0.137600442,6.203382689,1.003769762,0.002940874,0.038084433,1.148709352,1.549704945,analcatdata_homerun.csv
